Affiliations	Record Count	% of 13,573
COMM US USSR WORKSHOP PLANETARY SCI	9	0.066
DENVER MUSEUM NAT SCI	9	0.066
DLR	9	0.066
ENTREPRENEURS ROUNDTABLE ACCELERATOR	9	0.066
ENVIRONM BIOPHYS MOL ECOL PROGRAM	9	0.066
FUTURE US CIVIL SPACE POLICY WORKSHOP	9	0.066
GEOCHEM SOC	9	0.066
GOETHE UNIVERSITY FRANKFURT	9	0.066
IDEA	9	0.066
INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS	9	0.066
INST ASTRON	9	0.066
INST DATA EXPLORAT APPLICAT	9	0.066
INSTITUTE OF GEOLOGY KOMI SCIENTIFIC CENTRE OF THE RUSSIAN ACADEMY OF SCIENCES	9	0.066
INT SOC STUDY ORIGIN LIFE	9	0.066
IOWA STATE UNIVERSITY	9	0.066
JACOBS UNIVERSITY	9	0.066
KEIO UNIVERSITY	9	0.066
KIEPENHEUER INSTITUT FUR SONNENPHYSIK	9	0.066
KINGSTON UNIVERSITY	9	0.066
LAVAL UNIVERSITY	9	0.066
LEIBNIZ INSTITUT FUR OSTSEEFORSCHUNG WARNEMUNDE	9	0.066
MAYO CLINIC	9	0.066
METEORIT SOC	9	0.066
MOL BIOL SELECT COMM	9	0.066
MONTEREY BAY AQUARIUM RESEARCH INSTITUTE	9	0.066
MRC LABORATORY MOLECULAR BIOLOGY	9	0.066
NAS	9	0.066
NATIONAL INSTITUTES OF HEALTH NIH USA	9	0.066
NATIONAL KAPODISTRIAN UNIVERSITY OF ATHENS	9	0.066
NATL ACAD COMM INT SECUR ARMS CONTROL	9	0.066
NATL ACAD SCI NAS	9	0.066
NATL ACAD SEARCHING LIFE SPACE TIME WORKSHOP CO	9	0.066
NATL ACAD SPACE STUDIES BOARD	9	0.066
NCR CORP	9	0.066
NERC BRITISH GEOLOGICAL SURVEY	9	0.066
NOVARTIS	9	0.066
OBERLIN COLLEGE	9	0.066
OLD DOMINION UNIVERSITY	9	0.066
OREGON HEALTH SCIENCE UNIVERSITY	9	0.066
OUTER PLANETS ASSESSMENT GRP OPAG	9	0.066
PANEL SPACE SCI	9	0.066
PATASHNICK VOORHEESVILLE OBSERV	9	0.066
ROSS ICE SHELF EUROPA UNDERWATER PROBE	9	0.066
ROYAL BELGIAN INST SPACE AERON	9	0.066
ROYAL ONTARIO MUSEUM	9	0.066
ROYAL SOC CANADA	9	0.066
ROYAL SOC LONDON	9	0.066
SAINT LOUIS UNIVERSITY	9	0.066
SCI DEFINIT TEAM MARS ODYSSEY MARS RECONNAISSAN	9	0.066
SCOTTISH UNIVERSITIES RESEARCH REACTOR CENTER	9	0.066
SEARCHING LIFE SPACE TIME WORKSHOP	9	0.066
SEOUL NATIONAL UNIVERSITY SNU	9	0.066
SLOAN FDN DEEP CARBON OBSERV	9	0.066
SPACE STUDIES BOARD	9	0.066
STABLE ISOTOPE LAB	9	0.066
STANFORD SYNCHROTRON RADIAT LIGHTSOURCE	9	0.066
SWARTHMORE COLLEGE	9	0.066
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY	9	0.066
TERADATA CORP	9	0.066
UNITED STATES NAVAL ACADEMY	9	0.066
UNIVERSIDAD DE ALCALA	9	0.066
UNIVERSIDAD DE LIMA	9	0.066
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO	9	0.066
UNIVERSITE DE BOURGOGNE	9	0.066
UNIVERSITE FEDERALE TOULOUSE MIDI PYRENEES COMUE	9	0.066
UNIVERSITY OF GOTHENBURG	9	0.066
UNIVERSITY OF MINNESOTA DULUTH	9	0.066
UNIVERSITY OF PORTSMOUTH	9	0.066
UNIVERSITY TORONTO SCARBOROUGH	9	0.066
VENUS EXPLORAT ANAL GRP VEXAG	9	0.066
WESTERN SYDNEY UNIVERSITY	9	0.066
AALTO UNIVERSITY	8	0.059
ANGLO AUSTRALIAN OBSERV	8	0.059
BAER INST	8	0.059
BAYLOR UNIVERSITY	8	0.059
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA	8	0.059
DAUPHIN ISLAND SEA LAB	8	0.059
ECKERD COLL	8	0.059
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE RENNES ENSCR	8	0.059
FAHRENHEIT UNIVERSITIES	8	0.059
FIREBIRD BIOMOL SCI LLC	8	0.059
GEMINI OBSERV	8	0.059
GNS SCIENCE NEW ZEALAND	8	0.059
INSTITUTE OF MOLECULAR BIOLOGY GENETICS OF NASU	8	0.059
INT SPACE SCI INST	8	0.059
ISTITUTO PER LE RISORSE BIOLOGICHE BIOTECNOLOGIE MARINE IRBIM CNR	8	0.059
ISTITUTO PER LO STUDIO DEI MATERIALI NANOSTRUTTURATI ISMN CNR	8	0.059
J HEYROVSKY INSTITUTE OF PHYSICAL CHEMISTRY OF THE CZECH ACADEMY OF SCIENCES	8	0.059
K PLASMA LTD	8	0.059
KARLSRUHE INSTITUTE OF TECHNOLOGY	8	0.059
KOMI SCIENCE CENTRE OF THE URAL BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES	8	0.059
KURUME UNIVERSITY	8	0.059
LAURENTIAN UNIVERSITY	8	0.059
LAWRENCE UNIVERSITY	8	0.059
LEIPZIG UNIVERSITY	8	0.059
MARCHE POLYTECHNIC UNIVERSITY	8	0.059
MARS SOC AUSTRALIA	8	0.059
NAGAOKA UNIVERSITY OF TECHNOLOGY	8	0.059
NANJING INSTITUTE OF GEOLOGY PALEONTOLOGY CAS	8	0.059
NATIONAL INSTITUTES FOR QUANTUM SCIENCE TECHNOLOGY	8	0.059
NEW YORK UNIV ABU DHABI	8	0.059
NOVOSIBIRSK STATE UNIVERSITY	8	0.059
OITA UNIVERSITY	8	0.059
PETERSBURG NUCLEAR PHYSICS INSTITUTE	8	0.059
PRINCETON PLASMA PHYSICS LABORATORY	8	0.059
ROMA TRE UNIVERSITY	8	0.059
RUFUS SCI	8	0.059
RUSSIAN ACADEMY OF SCIENCE LEBEDEV PHYSICAL INSTITUTE	8	0.059
SIMON FRASER UNIVERSITY	8	0.059
SPACE APPLICAT SERV	8	0.059
SPHERIX INC	8	0.059
STATE UNIVERSITY OF NEW YORK SUNY ALBANY	8	0.059
STATE UNIVERSITY OF NEW YORK SUNY BINGHAMTON	8	0.059
SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	8	0.059
TAMAGAWA UNIV	8	0.059
TOHO UNIVERSITY	8	0.059
UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS	8	0.059
UNIVERSIDAD DE BURGOS	8	0.059
UNIVERSIDADE ESTADUAL DE CAMPINAS	8	0.059
UNIVERSIDADE ESTADUAL DE MARINGA	8	0.059
UNIVERSITE BORDEAUX MONTAIGNE	8	0.059
UNIVERSITY HOHENHEIM	8	0.059
UNIVERSITY OF MESSINA	8	0.059
UNIVERSITY OF PLYMOUTH	8	0.059
UNIVERSITY OF SZCZECIN	8	0.059
UNIVERSITY OF TARTU	8	0.059
VERNADSKY INSTITUTE OF GEOCHEMISTRY ANALYTICAL CHEMISTRY	8	0.059
WESTERN MICHIGAN UNIVERSITY	8	0.059
YUNNAN ASTRONOMICAL OBSERVATORY NAOC CAS	8	0.059
AEROSPACE CORPORATION USA	7	0.052
ASTRON	7	0.052
ASTRONOMICAL INSTITUTE SAS	7	0.052
AUCKLAND UNIVERSITY OF TECHNOLOGY	7	0.052
BAYLOR COLLEGE OF MEDICINE	7	0.052
BEIHANG UNIVERSITY	7	0.052
BIRBAL SAHNI INSTITUTE OF PALAEOBOTANY BSIP	7	0.052
BROAD INSTITUTE	7	0.052
CASE WESTERN RESERVE UNIVERSITY	7	0.052
CINVESTAV CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITECNICO NACIONAL	7	0.052
CSIC INSTITUTO DE RECURSOS NATURALES Y AGROBIOLOGIA DE SEVILLA IRNAS	7	0.052
CSIC UAM INSTITUT DE FISICA TEORICA IFT	7	0.052
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER	7	0.052
FIELD MUSEUM OF NATURAL HISTORY CHICAGO	7	0.052
FUKUOKA INSTITUTE OF TECHNOLOGY	7	0.052
GODDARD CTR ASTROBIOL	7	0.052
GUANGZHOU INSTITUTE OF GEOCHEMISTRY CAS	7	0.052
HONEYBEE ROBOT SPACECRAFT MECH CORP	7	0.052
IMPOSSIBLE SENSING	7	0.052
INDIAN INSTITUTE OF TECHNOLOGY IIT BOMBAY	7	0.052
IRAM	7	0.052
ISTITUTO DI SCIENZE MARINE ISMAR CNR	7	0.052
JOINT ASTRON CTR	7	0.052
KOCHI UNIVERSITY	7	0.052
KOLA SCIENCE CENTRE OF THE RUSSIAN ACADEMY OF SCIENCES	7	0.052
KYOTO SANGYO UNIVERSITY	7	0.052
LUCKNOW UNIVERSITY	7	0.052
MASARYK UNIVERSITY BRNO	7	0.052
MEDICAL UNIVERSITY OF INNSBRUCK	7	0.052
MIDDLE EAST TECHNICAL UNIVERSITY	7	0.052
MISSISSIPPI STATE UNIVERSITY	7	0.052
NANYANG TECHNOLOGICAL UNIVERSITY	7	0.052
NANYANG TECHNOLOGICAL UNIVERSITY NATIONAL INSTITUTE OF EDUCATION NIE SINGAPORE	7	0.052
NATIONAL RESEARCH FOUNDATION SOUTH AFRICA	7	0.052
NATIONAL UNIVERSITY OF SINGAPORE	7	0.052
OAK CREST INST SCI	7	0.052
PENNSYLVANIA STATE SYSTEM OF HIGHER EDUCATION PASSHE	7	0.052
POLAR GEOPHYSICAL INSTITUTE	7	0.052
PONTIFICIA UNIV CATOLICA RIO DE JANEIRO PUC RIO	7	0.052
PURDUE UNIV NORTHWEST	7	0.052
SANDIA NATIONAL LABORATORIES	7	0.052
SANTA CLARA UNIVERSITY	7	0.052
SCUOLA NORMALE SUPERIORE DI PISA	7	0.052
SLOVAK ACADEMY OF SCIENCES	7	0.052
SPACE RESEARCH CENTRE OF THE POLISH ACADEMY OF SCIENCES	7	0.052
TECHNISCHE UNIVERSITAT DRESDEN	7	0.052
U S ARMY CORPS OF ENGINEERS	7	0.052
U S ARMY ENGINEER RESEARCH DEVELOPMENT CENTER ERDC	7	0.052
UNIVERSIDAD DE ANTOFAGASTA	7	0.052
UNIVERSITY OF BAYREUTH	7	0.052
UNIVERSITY OF CRAIOVA	7	0.052
UNIVERSITY OF GDANSK	7	0.052
UNIVERSITY OF LOUISIANA LAFAYETTE	7	0.052
UNIVERSITY OF LOUISVILLE	7	0.052
UNIVERSITY OF SIENA	7	0.052
UNIVERSITY OF SOUTH WALES	7	0.052
UNIVERSITY OF WITWATERSRAND	7	0.052
US NAVAL OBSERV	7	0.052
WESTMINSTER COLL	7	0.052
WHEATON COLL	7	0.052
WUHAN UNIVERSITY	7	0.052
ZHEJIANG UNIVERSITY	7	0.052
ARCTIC ANTARCTIC RESEARCH INSTITUTE	6	0.044
ASTRONOMICAL INSTITUTE OF THE CZECH ACADEMY OF SCIENCES	6	0.044
AUSTRALIAN CTR ASTROBIOL	6	0.044
BENEDICTINE COLL	6	0.044
BIGELOW LAB OCEAN SCI	6	0.044
BROOKHAVEN NATIONAL LABORATORY	6	0.044
BRUKER CORPORATION	6	0.044
BULGARIAN ACADEMY OF SCIENCES	6	0.044
CALIFORNIA STATE UNIVERSITY CHICO	6	0.044
CARL SAGAN CTR STUDY LIFE UNIVERSE	6	0.044
CENTRUM BADAN KOSMICZNYCH POLISH ACADEMY OF SCIENCES	6	0.044
CITY COLLEGE OF NEW YORK CUNY	6	0.044
COMENIUS UNIVERSITY BRATISLAVA	6	0.044
CONCORDIA COLL	6	0.044
CONOCOPHILLIPS	6	0.044
CSIC CENTRO DE CIENCIAS MEDIOAMBIENTALES CCMA	6	0.044
CTR SPATIAL TOULOUSE	6	0.044
DEUTSCHES ELEKTRONEN SYNCHROTRON DESY	6	0.044
DONGGUK UNIVERSITY	6	0.044
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE	6	0.044
ESA	6	0.044
ESO	6	0.044
EUROPEAN SYNCHROTRON RADIATION FACILITY ESRF	6	0.044
FINNISH METEOROLOGICAL INSTITUTE	6	0.044
FRAUNHOFER GESELLSCHAFT	6	0.044
FREE UNIVERSITY OF TBILISI	6	0.044
GRAD THEOL UNION	6	0.044
GRAY CONSULTING	6	0.044
GRAZ UNIVERSITY OF TECHNOLOGY	6	0.044
GRINNELL COLL	6	0.044
GUIYANG INSTITUTE OF GEOCHEMISTRY CAS	6	0.044
GUSTAVUS ADOLPHUS COLLEGE	6	0.044
HIGH ENERGY ACCELERATOR RESEARCH ORGANIZATION KEK	6	0.044
IBARAKI UNIVERSITY	6	0.044
INDIAN INSTITUTE OF SCIENCE IISC BANGALORE	6	0.044
INST ESTUDIOS AVANZADOS	6	0.044
INSTITUTE OF BOTANY OF THE CZECH ACADEMY OF SCIENCES	6	0.044
INSTITUTE OF GEOLOGICAL SCIENCES OF THE POLISH ACADEMY OF SCIENCES	6	0.044
INSTITUTE OF PHYSICS OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE	6	0.044
INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS INPE	6	0.044
IONA COLLEGE	6	0.044
ISRAEL OCEANOGRAPHIC LIMNOLOGICAL RESEARCH INSTITUTE	6	0.044
ISTITUTO DI GEOSCIENZE E GEORISORSE IGG CNR	6	0.044
JILIN UNIVERSITY	6	0.044
KAGOSHIMA UNIVERSITY	6	0.044
KENNESAW STATE UNIVERSITY	6	0.044
LAKEHEAD UNIVERSITY	6	0.044
LANCASTER UNIVERSITY	6	0.044
LAS CUMBRES OBSERV	6	0.044
MEDICAL UNIVERSITY OF GRAZ	6	0.044
MEISEI UNIVERSITY	6	0.044
MIAMI UNIVERSITY	6	0.044
MINDAT ORG	6	0.044
MINISTRY OF EDUCATION SCIENCE OF UKRAINE	6	0.044
NASA	6	0.044
NATIONAL INSTITUTE FOR AEROSPACE	6	0.044
NATIONAL INSTITUTE OF INFORMATION COMMUNICATIONS TECHNOLOGY NICT JAPAN	6	0.044
NATIONAL TECHNICAL UNIVERSITY OF ATHENS	6	0.044
NATL RES INST	6	0.044
NETWORK RESEARCHERS CHEM EVOLUT LIFE	6	0.044
NEW ENGLAND BIOLABS	6	0.044
NICOLAUS COPERNICUS ASTRONOMICAL CENTER OF THE POLISH ACADEMY OF SCIENCES	6	0.044
NORTHERN ILLINOIS UNIVERSITY	6	0.044
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NTNU	6	0.044
OHB SE	6	0.044
OLLSCOIL NA GAILLIMHE UNIVERSITY OF GALWAY	6	0.044
PALEONTOLOGICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCES	6	0.044
RONIN INST	6	0.044
ROYAL NETHERLANDS INSTITUTE FOR SEA RESEARCH NIOZ	6	0.044
RUTGERS STATE UNIVERSITY NEWARK	6	0.044
RWTH AACHEN UNIVERSITY HOSPITAL	6	0.044
SINOPEC	6	0.044
SKIDAWAY INSTITUTE OF OCEANOGRAPHY	6	0.044
TECHNICAL UNIVERSITY OF DARMSTADT	6	0.044
TECHNISCHE UNIVERSITAT WIEN	6	0.044
TOKYO UNIVERSITY OF TECHNOLOGY	6	0.044
TOWSON UNIVERSITY	6	0.044
UNIV WAIKATO TAURANGA	6	0.044
UNIVERSIDAD DE EXTREMADURA	6	0.044
UNIVERSIDAD DE MALAGA	6	0.044
UNIVERSIDAD NACIONAL COSTA RICA	6	0.044
UNIVERSITA DI MODENA E REGGIO EMILIA	6	0.044
UNIVERSITAT POLITECNICA DE CATALUNYA	6	0.044
UNIVERSITAT SIEGEN	6	0.044
UNIVERSITE CLERMONT AUVERGNE UCA	6	0.044
UNIVERSITE D ANGERS	6	0.044
UNIVERSITI KEBANGSAAN MALAYSIA	6	0.044
UNIVERSITY OF AIZU	6	0.044
UNIVERSITY OF BIELEFELD	6	0.044
UNIVERSITY OF CRETE	6	0.044
UNIVERSITY OF EASTERN FINLAND	6	0.044
UNIVERSITY OF FREIBURG	6	0.044
UNIVERSITY OF GENOA	6	0.044
UNIVERSITY OF HYOGO	6	0.044
UNIVERSITY OF MALTA	6	0.044
UNIVERSITY OF OULU	6	0.044
UNIVERSITY OF SOUTH BOHEMIA CESKE BUDEJOVICE	6	0.044
UNIVERSITY OF SURREY	6	0.044
UNIVERSITY OF THE FREE STATE	6	0.044
UNIVERSITY OF TRENTO	6	0.044
VICTORIA UNIVERSITY WELLINGTON	6	0.044
VIRGINIA COMMONWEALTH UNIVERSITY	6	0.044
WADSWORTH CENTER	6	0.044
WESTHEIMER INST SCI TECHNOL	6	0.044
WUHAN INST GEOL MINERAL RESOURCES	6	0.044
XIAMEN UNIVERSITY	6	0.044
XINJIANG ASTRONOMY OBSERVATORY NACO CAS	6	0.044
BEIJING INSTITUTE OF TECHNOLOGY	5	0.037
BELGIAN INST SPACE AERON	5	0.037
BROCK UNIVERSITY	5	0.037
CALIFORNIA ACADEMY OF SCIENCES	5	0.037
CALIFORNIA STATE UNIVERSITY LONG BEACH	5	0.037
CANADA FRANCE HAWAII TELESCOPE	5	0.037
CANADIAN INSTITUTE FOR ADVANCED RESEARCH CIFAR	5	0.037
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA CELSO SUCKOW DA FONSECA CEFET RJ	5	0.037
CHINA UNIVERSITY OF PETROLEUM	5	0.037
COLORADO COLLEGE	5	0.037
CONNECTICUT STATE UNIVERSITY SYSTEM	5	0.037
CSIC INSTITUTO DE RECURSOS NATURALES IRN	5	0.037
DEPT NATL DEF	5	0.037
EHIME UNIVERSITY	5	0.037
ESZTERHAZY KAROLY COLL	5	0.037
GEOLOGICAL SURVEY OF FINLAND GTK	5	0.037
GRANTECAN CALP	5	0.037
GRASSMERE DYNAM LLC	5	0.037
HAMILTON COLLEGE	5	0.037
HAMPTON UNIVERSITY	5	0.037
INDIAN INSTITUTE OF SCIENCE EDUCATION RESEARCH IISER PUNE	5	0.037
INDIAN SPACE RESEARCH ORGANISATION ISRO	5	0.037
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON INSA LYON	5	0.037
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE	5	0.037
INSTITUT SUPERIEUR DE L AERONAUTIQUE ET DE L ESPACE ISAE SUPAERO	5	0.037
INSTITUTE OF BIOMEDICAL PROBLEMS OF THE RUSSIAN ACADEMY OF SCIENCES	5	0.037
INSTITUTE OF BIOPHYSICS OF THE CZECH ACADEMY OF SCIENCES	5	0.037
INSTITUTE OF ORGANIC CHEMISTRY BIOCHEMISTRY OF THE CZECH ACADEMY OF SCIENCES	5	0.037
INSTITUTE OF PALEOBIOLOGY OF THE POLISH ACADEMY OF SCIENCES	5	0.037
INSTITUTE OF PHYSICS OF THE CZECH ACADEMY OF SCIENCES	5	0.037
INSTITUTE OF PRECAMBRIAN GEOLOGY GEOCHRONOLOGY OF THE RUSSIAN ACADEMY OF SCIENCES	5	0.037
JACOBS TECHNOL	5	0.037
JOINT INSTITUTE FOR NUCLEAR RESEARCH RUSSIA	5	0.037
KARELIAN RESEARCH CENTRE OF THE RUSSIAN ACADEMY OF SCIENCES	5	0.037
KOGAKUIN UNIVERSITY	5	0.037
KOREA POLAR RESEARCH INSTITUTE KOPRI	5	0.037
KRASNOYARSK SCIENCE CENTER OF THE SIBERIAN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES	5	0.037
KRISTIANSTAD UNIVERSITY	5	0.037
LE RESEAU INTERNATIONAL DES INSTITUTS PASTEUR RIIP	5	0.037
LEIDEN INST CHEM	5	0.037
MARQUETTE UNIVERSITY	5	0.037
MONTEREY INST RES ASTRON	5	0.037
MTA ELTE EXOPLANET RES GRP	5	0.037
NATIONAL DONG HWA UNIVERSITY	5	0.037
NATIONAL SYNCHROTRON RADIATION RESEARCH CENTER	5	0.037
NATL CAVE KARST RES INST	5	0.037
NEW EUROPE SCH THEORET BIOL ECOL	5	0.037
NSFS NATL OPT INFRARED ASTRON RES LAB	5	0.037
PULKOVO OBSERVATORY	5	0.037
QUATERNARY SURVEYS	5	0.037
RABIN MEDICAL CENTER	5	0.037
RHODES UNIVERSITY	5	0.037
ROCKEFELLER UNIVERSITY	5	0.037
RUFUS SCI LTD	5	0.037
SAVANNAH RIVER NATIONAL LABORATORY	5	0.037
SCIENCE SYSTEMS AND APPLICATIONS INC	5	0.037
SETI	5	0.037
SHANGHAI INSTITUTE OF MATERIA MEDICA CAS	5	0.037
SOUTH AFRICAN ASTRONOMICAL OBSERVATORY	5	0.037
SP TECHNICAL RESEARCH INSTITUTE OF SWEDEN	5	0.037
SPACE EXPLORAT INST	5	0.037
SPACE GENERAT ADVISORY COUNCIL	5	0.037
SPACE LIFE SCI LAB	5	0.037
STINGER GHAFFARIAN TECHNOLOGIES INC SGT	5	0.037
TALLINN UNIVERSITY OF TECHNOLOGY	5	0.037
TECHNOL LEARNING CONSORTIUM INC	5	0.037
TEXAS STATE UNIVERSITY SYSTEM	5	0.037
TOKYO INST TECHNOL	5	0.037
UK SPACE BIOMED ASSOC	5	0.037
UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA	5	0.037
UNIVERSIDAD AUTONOMA METROPOLITANA MEXICO	5	0.037
UNIVERSIDAD DE ANTIOQUIA	5	0.037
UNIVERSIDAD DE GUANAJUATO	5	0.037
UNIVERSIDADE DE BRASILIA	5	0.037
UNIVERSIDADE DE COIMBRA	5	0.037
UNIVERSIDADE FEDERAL DA BAHIA	5	0.037
UNIVERSIDADE FEDERAL DE JUIZ DE FORA	5	0.037
UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC	5	0.037
UNIVERSIDADE NOVA DE LISBOA	5	0.037
UNIVERSITAT D ALACANT	5	0.037
UNIVERSITAT DE LLEIDA	5	0.037
UNIVERSITAT POLITECNICA DE VALENCIA	5	0.037
UNIVERSITE DE SAVOIE	5	0.037
UNIVERSITY OF APPLIED SCIENCES WILDAU	5	0.037
UNIVERSITY OF CALABRIA	5	0.037
UNIVERSITY OF DUISBURG ESSEN	5	0.037
UNIVERSITY OF HOUSTON DOWNTOWN	5	0.037
UNIVERSITY OF INSUBRIA	5	0.037
UNIVERSITY OF LIVERPOOL	5	0.037
UNIVERSITY OF LOS ANDES VENEZUELA	5	0.037
UNIVERSITY OF NORTH CAROLINA WILMINGTON	5	0.037
UNIVERSITY OF NORTHERN IOWA	5	0.037
UNIVERSITY OF OTAGO	5	0.037
UNIVERSITY OF PUERTO RICO AT ARECIBO	5	0.037
UNIVERSITY OF SAN FRANCISCO	5	0.037
UNIVERSITY OF STRATHCLYDE	5	0.037
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON	5	0.037
UNIVERSITY OF UDINE	5	0.037
UNIVERSITY OF WURZBURG	5	0.037
USRA	5	0.037
VATICAN OBSERVATORY	5	0.037
VILLA 39 OBSERV	5	0.037
VILNIUS UNIVERSITY	5	0.037
WM KECK OBSERV	5	0.037
YONSEI UNIVERSITY	5	0.037
YUNNAN UNIVERSITY	5	0.037
ACTINIUM CHEM RES INST	4	0.029
ADLER PLANETARIUM	4	0.029
AGROPARISTECH	4	0.029
ALBERT EINSTEIN COLLEGE OF MEDICINE	4	0.029
ALBION COLLEGE	4	0.029
AMITY UNIVERSITY NOIDA	4	0.029
AUSTRIAN INSTITUTE OF TECHNOLOGY AIT	4	0.029
BIOTECHNOLOGY AND BIOLOGICAL SCIENCES RESEARCH COUNCIL BBSRC	4	0.029
BOEING	4	0.029
BOWLING GREEN STATE UNIVERSITY	4	0.029
BRAZILIAN CTR RES ENERGY MAT	4	0.029
BUCKNELL UNIVERSITY	4	0.029
C E RES INC	4	0.029
CALIFORNIA STATE UNIVERSITY LOS ANGELES	4	0.029
CALIFORNIA STATE UNIVERSITY NORTHRIDGE	4	0.029
CENT DESIGN BUR ARSENAL	4	0.029
CHAN ZUCKERBERG BIOHUB	4	0.029
CHARITE UNIVERSITATSMEDIZIN BERLIN	4	0.029
CHEVRON	4	0.029
CHINA NATIONAL PETROLEUM CORPORATION	4	0.029
CHUNGNAM NATIONAL UNIVERSITY	4	0.029
CNRS INSTITUTE FOR INFORMATION SCIENCES TECHNOLOGIES INS2I	4	0.029
COCHIN UNIVERSITY SCIENCE TECHNOLOGY	4	0.029
COMISION NACIONAL DE ENERGIA ATOMICA CNEA	4	0.029
CTR HIGH PRESSURE SCI TECHNOL ADV RES	4	0.029
DANELL CONSULTING INC	4	0.029
DEPARTMENT OF BIOTECHNOLOGY DBT INDIA	4	0.029
DEPT EARTH SCI	4	0.029
EAST CHINA UNIVERSITY OF TECHNOLOGY	4	0.029
EAST TENNESSEE STATE UNIVERSITY	4	0.029
EGE UNIVERSITY	4	0.029
EQUINOR	4	0.029
EUROPEAN SCI FDN	4	0.029
FAC HUMANIDADES EDUC	4	0.029
FERMI NATIONAL ACCELERATOR LABORATORY	4	0.029
FESENKOV ASTROPHYSICAL INSTITUTE	4	0.029
FOOTHILL COLL	4	0.029
GEOLOGICAL SURVEY INDIA	4	0.029
GLOBAL CHANGE RESEARCH CENTRE OF THE CZECH ACADEMY OF SCIENCES	4	0.029
GLOBAL SCI INST	4	0.029
GOTTINGEN ACAD SCI HUMANITIES	4	0.029
GUANGDONG PROVINCIAL KEY LABORATORY OF MARINE RESOURCES COASTAL ENGINEERING	4	0.029
GUANGZHOU MARINE GEOLOGICAL SURVEY	4	0.029
HARVEY MUDD COLLEGE	4	0.029
HELMHOLTZ ZENTRUM DRESDEN ROSSENDORF HZDR	4	0.029
HUNGARIAN BIOLOGICAL RESEARCH CENTER	4	0.029
HUNGARIAN WIGNER RESEARCH CENTRE FOR PHYSICS	4	0.029
INDIANA WESLEYAN UNIV	4	0.029
INST NACL TECN AEROESPACIAL	4	0.029
INST NACL TECN AEROSP INTA	4	0.029
INST RADIOASTRON MILLIMETR	4	0.029
INST STUDY PANSPERMIA ASTROECON	4	0.029
INSTITUT PASTEUR PARIS	4	0.029
INSTITUT POLYTECHNIQUE DE PARIS	4	0.029
INSTITUTE OF ASTRONOMY OF THE RUSSIAN ACADEMY OF SCIENCES	4	0.029
INSTITUTE OF CELL BIOPHYSICS RAS	4	0.029
INSTITUTE OF DEEP SEA SCIENCE ENGINEERING CAS	4	0.029
INSTITUTE OF GEOLOGY OF THE CZECH ACADEMY OF SCIENCES	4	0.029
INSTITUTE OF GEOLOGY OF THE KARELIAN RESEARCH CENTRE IG KARRC	4	0.029
INSTITUTE OF HYDROBIOLOGY CAS	4	0.029
INSTITUTE OF MICROBIOLOGY OF THE CZECH ACADEMY OF SCIENCES	4	0.029
INSTITUTE OF RADIO ASTRONOMY OF THE NATIONAL ACADEMY OF SCIENCES OF UKRAINE	4	0.029
INTA	4	0.029
ISTANBUL UNIVERSITY	4	0.029
ISTITUTO DI NANOTECNOLOGIA NANOTEC CNR	4	0.029
ITHACA COLL	4	0.029
IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY	4	0.029
JACOBS ENGN	4	0.029
KBRWYLE	4	0.029
KINDAI UNIVERSITY KINKI UNIVERSITY	4	0.029
KING ABDULAZIZ UNIVERSITY	4	0.029
KING ABDULLAH UNIVERSITY OF SCIENCE TECHNOLOGY	4	0.029
KING SAUD UNIVERSITY	4	0.029
KUTZTOWN UNIVERSITY PENNSYLVANIA	4	0.029
KYOTO SANGYO UNIV MOTOYAMA	4	0.029
LAB ASTROPHYS BORDEAUX	4	0.029
LAS CUMBRES OBSERV GLOBAL TELESCOPE NETWORK	4	0.029
LEIBNIZ UNIVERSITY HANNOVER	4	0.029
LIVERPOOL JOHN MOORES UNIVERSITY	4	0.029
LOUISIANA UNIV MARINE CONSORTIUM	4	0.029
LUNAR PLANETARY INST USRA	4	0.029
